Gene	Log_peptides
tpx	1.204119983
ydaA	0.301029996
ldhA	0.301029996
b1394	0
acpD	0
aldA	1.176091259
b1444	0
rhsE	0
b1463	0
b1484	0
pqqL	0.602059991
ydeF	0.301029996
dcp	0.477121255
ydfG	0.698970004
ydfH	0.477121255
cspB	0.477121255
b1587	0
b1604	0.602059991
fumA	0.84509804
b1629	0.301029996
ydgR	0.77815125
tyrS	1
sodC	0.301029996
nemA	0.301029996
lhr	0
ydhD	0.84509804
sodB	1.556302501
purR	0.903089987
pykF	1.397940009
ynhC	0
ydiC	0
ppsA	0.77815125
himA	0.84509804
pheT	1.278753601
pheS	1.041392685
rplT	1.079181246
infC	1.204119983
thrS	0.903089987
yniC	0.301029996
nadE	0.602059991
b1746	0
gdhA	1.681241237
selD	0.698970004
ydjA	0.602059991
yeaA	0.77815125
gapA	2.428134794
cspC	1.707570176
b1827	0
purT	1.113943352
eda	0
pykA	0.477121255
aspS	1.255272505
argS	0.77815125
araF	0
fliY	1.230448921
fliC	0.301029996
fliD	0
amyA	0.602059991
yedE	0.301029996
fliM	0.301029996
yeeS	0.301029996
b2016	0.477121255
hisG	0.602059991
hisD	0.602059991
hisC	0.698970004
hisH	0.84509804
hisF	0.602059991
ugd	0
gnd	1.812913357
glf	0.954242509
rfbC	0.301029996
rfbD	0.477121255
rfbB	1.278753601
galF	0.301029996
cpsB	0
wcaG	0
gmd	1.176091259
b2070	0.301029996
yegO	0.301029996
gatB	0.903089987
gatA	1.491361694
gatZ	1.397940009
yohM	0
metG	1.079181246
bglX	0
mglB	0.698970004
folE	1.176091259
yeiI	0
rplY	1.698970004
yejL	0
yejO	0
ccmF	0.301029996
rcsB	0.77815125
gyrA	1.204119983
ubiG	0.477121255
nrdA	0.602059991
yfaD	0
b2255	0.84509804
elaA	0.301029996
nuoF	0
ackA	0.84509804
pta	0.698970004
folX	0.477121255
hisJ	1.62324929
argT	0.301029996
purF	1.322219295
accD	0.77815125
pdxB	0
fabB	1.785329835
yfcA	0
aroC	0.301029996
b2381	0
gltX	1.278753601
lig	0.602059991
cysK	2.086359831
ptsH	0.477121255
ptsI	1.591064607
crr	1.361727836
cysM	1.079181246
cysP	1
b2463	0.84509804
dapE	0
purC	1.146128036
dapA	0.602059991
bcp	1.322219295
purM	0
b2503	0
guaA	1.505149978
guaB	1.568201724
hisS	0.477121255
yfgB	1.041392685
ndk	1.447158031
b2531	1
suhB	0.301029996
yphE	0
glyA	1.556302501
lepA	0.602059991
nadB	0.301029996
srmB	0.301029996
yfiD	1
clpB	0.698970004
tyrA	0.698970004
aroF	0
rplS	1.643452676
rpsP	1.653212514
ffh	0.301029996
grpE	1.041392685
stpA	0.903089987
emrR	0.84509804
ygaG	0.477121255
gshA	0.301029996
alaS	1.397940009
recA	0.698970004
fhlA	0
cysN	1.322219295
cysD	1.414973348
cysH	0.84509804
cysI	1.568201724
cysJ	1.69019608
eno	1.857332496
argA	0
ptr	0.477121255
mutH	0
lysA	0
lysS	1.230448921
prfB	0.954242509
dsbC	0
ygfZ	1
gcvP	0.954242509
gcvH	0.602059991
gcvT	0
pepP	0
serA	2.053078443
rpiA	0.602059991
fba	1.740362689
pgk	1.944482672
speB	0.602059991
speA	1.322219295
metK	1.748188027
yggT	0
yggX	0.301029996
metC	0.954242509
parC	0.602059991
mdaB	0.301029996
ribB	0.301029996
b3052	0.477121255
ygiF	0
ygiM	0.698970004
cca	0
ygjE	0.301029996
rpsU	1.041392685
rpoD	0.602059991
uxaA	0
yhaC	0
yraQ	0
yhbW	0
rpsO	1.176091259
infB	1.414973348
nusA	1.041392685
argG	1.819543936
mrsA	0.77815125
rpmA	0.301029996
rplU	1.544068044
ispB	0
murA	0.477121255
yrbC	0
yrbH	0.301029996
gltB	2.130333768
gltD	1.278753601
sspA	1
rpsI	1.342422681
rplM	1.785329835
degQ	0
mdh	2.079181246
argR	0
tldD	0
mreC	0
accB	0.77815125
accC	1.079181246
fis	1
yhdZ	0
rplQ	1.51851394
rpoA	1.954242509
rpsD	1.857332496
rpsK	1.62324929
rpsM	1.799340549
rplO	1.322219295
rpmD	1.079181246
rpsE	1.919078092
rplR	1.176091259
rplF	1.84509804
rpsH	1.204119983
rpsN	0.84509804
rplE	1.857332496
rplX	1.579783597
rplN	1.079181246
rpmC	1.431363764
rplP	1.322219295
rpsC	1.819543936
rplV	1.73239376
rpsS	1.361727836
rplB	1.903089987
rplW	1.832508913
rplD	1.73239376
rplC	1.86332286
rpsJ	1.681241237
fusA	2.409933123
rpsG	1.919078092
fkpA	1.204119983
slyD	0.84509804
yheR	0
crp	0.84509804
argD	1.255272505
trpS	0.84509804
gph	0.301029996
aroB	0.477121255
envZ	0
yhgI	1.041392685
malQ	0
asd	1.819543936
ggt	0.477121255
livK	0.954242509
nikB	0
yhiJ	0.477121255
uspA	0.698970004
prlC	0.698970004
dppA	1.204119983
cspA	1.230448921
glyS	1.322219295
glyQ	1.079181246
xylF	0
yiaO	0.301029996
mtlD	0
cysE	0.602059991
secB	1.176091259
yibO	1.146128036
rfaD	0.602059991
rpmG	1.204119983
rpmB	1.146128036
rpoZ	0.903089987
ilvB	1.255272505
ibpA	0.301029996
dnaN	0.477121255
thdF	0
phoU	0
glmS	1.079181246
atpC	0.301029996
atpD	1.531478917
atpG	0
atpA	1.176091259
atpH	0.477121255
mioC	0
asnA	0.84509804
rbsB	0.77815125
yifE	0.84509804
ilvA	0
ilvC	2.217483944
rho	1.568201724
wecE	0
hemX	0.477121255
metE	2.633468456
udp	0
ubiB	0.301029996
pepQ	0.84509804
yihD	0.84509804
glnA	1.944482672
cpxR	0
pfkA	1.176091259
tpiA	1.447158031
glpK	0
yiiU	1.301029996
hslU	0.84509804
rpmE	0.301029996
metB	0
metL	0.602059991
metF	0.698970004
katG	1.322219295
talC	0.301029996
ppc	1.982271233
argE	0
argH	1.113943352
oxyR	0.301029996
tufB	2.743509765
nusG	0.698970004
rplK	1.51851394
rplA	1.857332496
rplJ	1.255272505
rplL	2.305351369
rpoB	2
rpoC	1.954242509
hemE	0
hupA	1.414973348
purH	0
metA	0.77815125
aceB	0
aceK	0
metH	0.698970004
lysC	1.62324929
pgi	0.954242509
malE	1.146128036
qor	0
tyrB	1.146128036
uvrA	0.301029996
acs	0.698970004
rpiB	1.301029996
mopB	2.041392685
mopA	1.986771734
efp	0.602059991
psd	0
purA	1.672097858
ptxA	0
rpsF	1.462397998
rpsR	1.255272505
rplI	1.838849091
cysQ	0
ytfN	0
ppa	1.397940009
fbp	0.77815125
pmbA	0.301029996
pyrB	0.477121255
argI	0.301029996
valS	1.230448921
pepA	0.301029996
yjgR	0.301029996
fecR	0
yjiO	0
hsdM	0.698970004
hsdR	0.698970004
deoC	0.477121255
deoB	0.477121255
deoD	0
yjjK	1.342422681
arcA	0.602059991
